league_name,league_id,country,tier,season_format,current_season,status,betting_factors_configured,last_updated
Primera División,5500,Argentina,1,2025,2025,ID Needed,Yes,9/6/25
Pro League,2400,Belgium,1,2025-26,2025-26,ID Needed,Yes,9/6/25
Brazil Serie A,5400,Brazil,1,2025,2025,ID Needed,Yes,9/6/25
Brazil Serie B,5401,Brazil,2,2025,2025,ID Needed,Yes,9/6/25
First League,6400,Czech Republic,1,2025-26,2025-26,ID Needed,Yes,9/6/25
Superlig,6200,Denmark,1,2025-26,2025-26,ID Needed,Yes,9/6/25
Premier League,1625,England,1,2025-26,2025-26,Active,Yes,9/6/25
Championship,1626,England,2,2025-26,2025-26,ID Needed,Yes,9/6/25
FA Trophy,1626,England,3,2025-26,2025-26,ID Needed,Yes,9/6/25
UEFA Champions League,3000,Europe,0,2025-26,2025-26,ID Needed,Yes,9/6/25
UEFA Europa League,3001,Europe,0,2025-26,2025-26,ID Needed,Yes,9/6/25
UEFA Europa Conference League,3002,Europe,0,2025-26,2025-26,ID Needed,Yes,9/6/25
Ligue 1,1843,France,1,2025-26,2025-26,Active,Yes,9/6/25
Bundesliga,1854,Germany,1,2025-26,2025-26,Active,Yes,9/6/25
FIFA Club World Cup,4000,International,0,2025,2025,ID Needed,Yes,9/6/25
FIFA Club World Cup Playin,4001,International,0,2025,2025,ID Needed,Yes,9/6/25
WC Qualification Europe,4100,International,0,2025-26,2025-26,ID Needed,Yes,9/6/25
WC Qualification Africa,4101,International,0,2025-26,2025-26,ID Needed,Yes,9/6/25
WC Qualification Asia,4102,International,0,2025-26,2025-26,ID Needed,Yes,9/6/25
WC Qualification South America,4103,International,0,2025-26,2025-26,ID Needed,Yes,9/6/25
WC Qualification CONCACAF,4104,International,0,2025-26,2025-26,ID Needed,Yes,9/6/25
WC Qualification Oceania,4105,International,0,2025-26,2025-26,ID Needed,Yes,9/6/25
CONCACAF Central American Cup,7001,International,0,2025,2025,ID Needed,Yes,9/6/25
CONCACAF Caribbean Club Championship,7002,International,0,2025,2025,ID Needed,Yes,9/6/25
Serie A,2105,Italy,1,2025-26,2025-26,Active,Yes,9/6/25
Liga MX,5200,Mexico,1,2025,2025,ID Needed,Yes,9/6/25
Copa MX,5202,Mexico,2,2025,2025,ID Needed,Yes,9/6/25
Eredivisie,2200,Netherlands,1,2025-26,2025-26,ID Needed,Yes,9/6/25
Eliteserien,6000,Norway,1,2025,2025,ID Needed,Yes,9/6/25
First Division,6001,Norway,2,2025,2025,ID Needed,Yes,9/6/25
LigaPro,2300,Portugal,2,2025-26,2025-26,ID Needed,Yes,9/6/25
Copa Libertadores,5300,South America,0,2025,2025,ID Needed,Yes,9/6/25
La Liga,1729,Spain,1,2025-26,2025-26,Active,Yes,9/6/25
Super League,6700,Switzerland,1,2025-26,2025-26,ID Needed,Yes,9/6/25
Süper Lig,6900,Turkey,1,2025-26,2025-26,ID Needed,Yes,9/6/25
MLS,5000,USA,1,2025,2025,ID Needed,Yes,9/6/25
USL League One,5002,USA,2,2025,2025,ID Needed,Yes,9/6/25
NWSL,5003,USA,1,2025,2025,ID Needed,Yes,9/6/25
