date,kick_off,home_team,away_team,league,market,bet_description,odds,stake_pct,edge_pct,confidence_pct,quality_score,match_status,bet_outcome,home_score,away_score,total_goals,total_corners,btts,bet_amount,potential_win,actual_pnl,running_total,win_rate,total_picks,verified_result
2025-09-07,15:00,Novorizontino,Atlético GO,Unknown,Over 1.5,Over 1.5 Goals,2.352950552048408,8.0,81.3,77.0,0.65,Completed,Win,0,2,2,5,False,25.0,33.823763801210205,33.823763801210205,33.823763801210205,100.0,1,
2025-09-07,15:00,Cuiabá,CRB,Unknown,Over 1.5,Over 1.5 Goals,1.843307988751456,8.0,42.0,77.0,0.375,Completed,Win,0,2,2,14,False,25.0,21.0826997187864,21.0826997187864,54.906463519996606,100.0,2,
2025-09-07,15:00,Cuiabá,CRB,Unknown,Home Under 1.5,Home Team Under 1.5 Goals,1.5735017117311147,8.0,14.1,72.5,0.166,Completed,Loss,3,0,3,11,False,25.0,14.33754279327787,-25.0,29.906463519996606,66.66666666666666,3,
2025-09-07,15:00,Cuiabá,CRB,Unknown,Over 9.5 Corners,Over 9.5 Total Corners,1.7000782099077143,7.8,13.6,66.8,0.146,Completed,Win,2,0,2,11,False,25.0,17.50195524769286,17.50195524769286,47.40841876768947,75.0,4,
2025-09-07,15:00,Novorizontino,Atlético GO,Unknown,Away +1,Away Team +1 Handicap,1.4330541099392724,8.0,9.4,76.3,0.145,Completed,Win,2,3,5,8,True,25.0,10.82635274848181,10.82635274848181,58.23477151617128,80.0,5,
2025-09-08,16:00,Madagascar,Chad,World Cup - Qualification Africa,Over 1.5,Over 1.5 Goals,2.1185623937310374,8.0,59.3,75.2,0.491,Completed,Win,3,1,4,0,True,25.0,27.964059843275933,27.964059843275933,86.19883135944721,83.33333333333334,6,True
2025-09-08,19:00,Libya,Eswatini,World Cup - Qualification Africa,Over 1.5,Over 1.5 Goals,2.171396208559776,8.0,55.8,71.7,0.455,Completed,Win,2,0,2,0,False,25.0,29.284905213994406,29.284905213994406,115.48373657344162,85.71428571428571,7,True
2025-09-08,16:00,Guinea,Algeria,World Cup - Qualification Africa,Over 9.5 Corners,Over 9.5 Total Corners,2.1131611631465983,8.0,53.5,72.6,0.442,Completed,Loss,0,0,0,0,False,25.0,27.82902907866496,-25.0,90.48373657344162,75.0,8,True
2025-09-08,23:00,New England II,Huntsville City,MLS Next Pro,Over 1.5,Over 1.5 Goals,1.9919877270427824,8.0,45.8,73.2,0.39,Completed,Loss,1,0,1,0,False,25.0,24.79969317606956,-25.0,65.48373657344162,66.66666666666666,9,True
2025-09-08,16:00,Carl Zeiss Jena  W,1899 Hoffenheim W,Frauen Bundesliga,Over 1.5,Over 1.5 Goals,2.128309373508084,8.0,45.7,68.5,0.376,Completed,Win,1,4,5,0,True,25.0,28.207734337702096,28.207734337702096,93.69147091114372,70.0,10,True
2025-09-08,13:00,Zambia,Morocco,World Cup - Qualification Africa,Over 1.5,Over 1.5 Goals,1.9653805858024889,8.0,39.3,70.9,0.338,Completed,Win,0,2,2,0,False,25.0,24.13451464506222,24.13451464506222,117.82598555620594,72.72727272727273,11,True
2025-09-08,19:00,Ghana,Mali,World Cup - Qualification Africa,Over 9.5 Corners,Over 9.5 Total Corners,1.726210277348142,8.0,35.8,78.7,0.336,Completed,Loss,1,0,1,0,False,25.0,18.15525693370355,-25.0,92.82598555620594,66.66666666666666,12,True
2025-09-08,22:00,Tivoli Gardens,Spanish Town Police,Premier League,Over 9.5 Corners,Over 9.5 Total Corners,2.0880467250107926,8.0,39.2,66.7,0.325,Completed,Loss,2,1,3,0,True,25.0,27.201168125269813,-25.0,67.82598555620594,61.53846153846154,13,True
2025-09-09,00:30,Vila Nova,Athletic Club,Serie B,Over 2.5,Over 2.5 Goals,2.616721369708716,8.0,76.8,67.5,0.59,Completed,Loss,1,1,2,0,True,25.0,40.4180342427179,-25.0,42.825985556205936,57.14285714285714,14,True
2025-09-09,00:30,El Salvador,Suriname,World Cup - Qualification CONCACAF,Over 1.5,Over 1.5 Goals,2.3729489436790385,8.0,66.9,70.3,0.529,Completed,Win,1,2,3,0,True,25.0,34.32372359197596,34.32372359197596,77.1497091481819,60.0,15,True
2025-09-09,16:00,Cape Verde Islands,Cameroon,World Cup - Qualification Africa,Over 1.5,Over 1.5 Goals,2.3112455187020755,8.0,63.7,70.8,0.508,Completed,Loss,1,0,1,0,False,25.0,32.781137967551885,-25.0,52.1497091481819,56.25,16,True
2025-09-09,23:30,Chile,Uruguay,World Cup - Qualification South America,Over 1.5,Over 1.5 Goals,2.383046242582057,8.0,64.3,68.9,0.507,Completed,Loss,0,0,0,0,False,25.0,34.57615606455142,-25.0,27.1497091481819,52.94117647058824,17,True
2025-09-09,13:00,Sierra Leone,Ethiopia,World Cup - Qualification Africa,Over 1.5,Over 1.5 Goals,2.304200879359145,8.0,60.0,69.5,0.479,Completed,Win,2,0,2,0,False,25.0,32.605021983978624,32.605021983978624,59.75473113216052,55.55555555555556,18,True
2025-09-09,16:00,Congo DR,Senegal,World Cup - Qualification Africa,Over 1.5,Over 1.5 Goals,2.2556642742984825,8.0,58.7,70.3,0.472,Completed,Win,2,3,5,0,True,25.0,31.39160685746206,31.39160685746206,91.14633798962258,57.89473684210527,19,True
2025-09-09,18:45,Albania,Latvia,World Cup - Qualification Europe,Over 9.5 Corners,Over 9.5 Total Corners,2.149278709117442,8.0,56.6,72.9,0.465,Completed,Loss,1,0,1,0,False,25.0,28.73196772793605,-25.0,66.14633798962258,55.00000000000001,20,True
2025-09-09,16:00,Togo,Sudan,World Cup - Qualification Africa,Over 1.5,Over 1.5 Goals,2.314630491438746,8.0,53.1,66.2,0.42,Completed,Loss,1,0,1,0,False,25.0,32.86576228596865,-25.0,41.14633798962258,52.38095238095239,21,True
2025-09-11,17:00,Brann W,Manchester United W,UEFA Champions League Women,Over 1.5,Over 1.5 Goals,2.2203619992492647,8.0,54.9,69.8,0.842,Completed,Win,2,1,3,14,True,25.0,30.509049981231616,30.509049981231616,71.65538797085419,54.54545454545454,22,
2025-09-11,17:30,St. Pölten W,Fortuna Hjørring,UEFA Champions League Women,Home Over 1.5,Home Team Over 1.5 Goals,3.046262933165229,8.0,91.6,62.9,0.779,Completed,Loss,0,1,1,8,False,25.0,51.15657332913073,-25.0,46.65538797085419,52.17391304347826,23,
2025-09-11,18:30,Roma W,Sporting CP W,UEFA Champions League Women,Over 9.5 Corners,Over 9.5 Total Corners,2.6587349579171464,8.0,67.4,62.9,0.716,Completed,Win,2,0,2,10,False,25.0,41.46837394792866,41.46837394792866,88.12376191878286,54.166666666666664,24,
2025-09-11,17:00,Paris FC W,Austria Wien W,UEFA Champions League Women,Over 9.5 Corners,Over 9.5 Total Corners,1.9878264974220512,8.0,46.1,73.5,0.63,Completed,Loss,2,1,3,6,True,25.0,24.69566243555128,-25.0,63.12376191878286,52.0,25,
2025-09-11,17:30,Vorskla Poltava W,OH Leuven W,UEFA Champions League Women,Over 1.5,Over 1.5 Goals,1.911618317088194,8.0,38.3,72.3,0.514,Completed,Win,2,1,3,16,True,25.0,22.790457927204848,22.790457927204848,85.9142198459877,53.84615384615385,26,
2025-09-11,17:00,Häcken,Atletico Madrid W,UEFA Champions League Women,Over 9.5 Corners,Over 9.5 Total Corners,1.977217902273806,8.0,27.9,64.7,0.283,Completed,Win,2,0,2,11,False,25.0,24.43044755684515,24.43044755684515,110.34466740283284,55.55555555555556,27,
