date,kick_off,home_team,away_team,league,home_odds,draw_odds,away_odds,followed_league,has_picks,pick_count,top_pick_markets
2025-09-10,00:00,Jamaica,Trinidad and Tobago,World Cup - Qualification CONCACAF,1.36,5.0,8.0,No,No,0,None
2025-09-10,00:00,Curaçao,Bermuda,World Cup - Qualification CONCACAF,2.0,3.0,3.0,No,No,0,None
2025-09-10,01:30,Mexico,South Korea,Friendlies,2.15,3.4,2.88,No,No,0,None
2025-09-10,01:30,Bucaramanga,Once Caldas,Primera A,1.53,3.8,6.25,No,No,0,None
2025-09-10,01:30,Santa Fe,Alianza Petrolera,Copa Colombia,2.0,3.0,3.0,No,No,0,None
2025-09-10,02:00,Costa Rica,Haiti,World Cup - Qualification CONCACAF,1.5,4.1,6.25,No,No,0,None
2025-09-10,02:00,Honduras,Nicaragua,World Cup - Qualification CONCACAF,1.38,4.33,8.5,No,No,0,None
2025-09-10,08:30,Viktoria Plzeň II,Slavia III,3. liga - CFL A,1.6,4.5,3.7,No,No,0,None
2025-09-10,09:00,Slovan Liberec U19,Pardubice U19,1. Liga U19,2.0,3.0,3.0,No,No,0,None
2025-09-10,09:00,Master 7,Luangprabang FC,Lao League,2.0,3.0,3.0,No,No,0,None
2025-09-10,09:30,Calcutta Police,Railway,Calcutta Premier Division,2.0,3.0,3.0,No,No,0,None
2025-09-10,09:30,Southern Samity,Mohammedan,Calcutta Premier Division,2.0,3.0,3.0,No,No,0,None
2025-09-10,10:00,Temp Barnaul,Znamya Truda,Cup,2.0,3.0,3.0,No,No,0,None
2025-09-10,11:00,Zhetisay,Sport Academy Kairat,1. Division,2.0,3.0,3.0,No,No,0,None
2025-09-10,11:30,Kosmos Dolgoprudny,Veles,Cup,2.0,3.0,3.0,No,No,0,None
2025-09-10,12:00,Van II,Syunik,First League,2.0,3.0,3.0,No,No,0,None
2025-09-10,12:00,Bentonit Ijevan,Mika,First League,2.0,3.0,3.0,No,No,0,None
2025-09-10,12:00,Wofoo Tai Po,Southern District,Senior Shield,1.53,4.2,4.33,No,No,0,None
2025-09-10,12:00,Mogadishu City,Al Ahli Wad Medani,CECAFA Club Cup,2.0,3.0,3.0,No,No,0,None
2025-09-10,13:00,Zenit Penza,Volgar Astrakhan,Cup,2.0,3.0,3.0,No,No,0,None
2025-09-10,13:00,PSK Dinskaya,Dinamo Stavropol,Cup,2.0,3.0,3.0,No,No,0,None
2025-09-10,13:00,Volna Nizhegorodskaya,Tyumen,Cup,2.0,3.0,3.0,No,No,0,None
2025-09-10,13:30,Jenimaale Bitola,Shkendija,Cup,17.0,11.0,1.1,No,No,0,None
2025-09-10,13:30,Kozuv Gevgelija,Shkupi 1927,Cup,4.0,3.6,1.7,No,No,0,None
2025-09-10,13:30,Skopje,Tikveš,Cup,6.5,4.0,1.4,No,No,0,None
2025-09-10,13:30,Pro Vercelli U19,Lecco U19,Coppa Italia Primavera,1.73,3.8,3.7,No,No,0,None
2025-09-10,13:30,Buducnost Dobanovci,Indjija,Cup,2.0,3.0,3.0,No,No,0,None
2025-09-10,13:30,Naftagas,Semendrija 1924,Cup,2.0,3.0,3.0,No,No,0,None
2025-09-10,13:30,Jedinstvo Kruševac,Sloven Ruma,Cup,2.0,3.0,3.0,No,No,0,None
2025-09-10,14:00,Molodechno-DYuSSh 4,Neman,Premier League,2.0,3.0,3.0,Yes,Yes,1,Over 9.5 Corners
2025-09-10,14:00,Nasaf,Buxoro,Super League,1.36,3.9,8.0,No,No,0,None
2025-09-10,14:00,Unie Hlubina,Blansko,3. liga - MSFL,1.55,4.5,4.1,No,No,0,None
2025-09-10,14:00,Slovácko II,Třinec,3. liga - MSFL,3.2,3.7,1.85,No,No,0,None
2025-09-10,14:00,Zlín II,Frýdek-Místek,3. liga - MSFL,3.0,3.8,2.0,No,No,0,None
2025-09-10,14:00,Beluša,Malacky,3. liga - West,2.0,3.0,3.0,No,No,0,None
2025-09-10,14:00,Ludogorets III,Cherno more II,Third League - Northeast,2.0,3.0,3.0,No,No,0,None
2025-09-10,14:00,Tatran Prešov W,Spartak Myjava W,I Liga - Women,2.0,3.0,3.0,No,No,0,None
2025-09-10,14:00,Luki-Energiya,Cherepovets,Cup,2.0,3.0,3.0,No,No,0,None
2025-09-10,14:00,Mashuk-KMV,Kuban Kholding,Cup,2.0,3.0,3.0,No,No,0,None
2025-09-10,14:00,Tekstilshchik,Dinamo Vologda,Cup,2.0,3.0,3.0,No,No,0,None
2025-09-10,14:00,Sobrance Sobranecko,Zemplín Michalovce,Cup,2.0,3.0,3.0,No,No,0,None
