date,kick_off,home_team,away_team,league,country,home_odds,draw_odds,away_odds,followed_league,has_picks,pick_count,top_pick_markets
2025-09-11,09:30,East Bengal II,United Kolkata,Calcutta Premier Division,India,2.0,3.0,3.0,No,No,0,None
2025-09-11,09:30,NA Suruchi Sangha,Diamond Harbour,Calcutta Premier Division,India,2.0,3.0,3.0,No,No,0,None
2025-09-11,10:00,Oleksandria U19,LNZ Cherkasy U19,U19 League,Ukraine,2.0,3.0,3.0,No,No,0,None
2025-09-11,10:00,Veres Rivne U19,Kudrivka U19,U19 League,Ukraine,2.0,3.0,3.0,No,No,0,None
2025-09-11,11:00,Yassy Turkistan,Khan Tengri,1. Division,Kazakhstan,2.0,3.0,3.0,No,No,0,None
2025-09-11,11:00,Akademiya Ontustik,Aktobe Jas,1. Division,Kazakhstan,2.0,3.0,3.0,No,No,0,None
2025-09-11,12:00,Merani Martvili,Spaeri,Erovnuli Liga 2,Georgia,2.0,3.0,3.0,No,No,0,None
2025-09-11,12:00,Samtredia,Lokomotivi Tbilisi,Erovnuli Liga 2,Georgia,2.0,3.0,3.0,No,No,0,None
2025-09-11,12:00,Meshakhte,Dinamo Tbilisi II,Erovnuli Liga 2,Georgia,2.0,3.0,3.0,No,No,0,None
2025-09-11,12:00,Persita,PSM Makassar,Liga 1,Indonesia,2.45,3.2,2.55,No,No,0,None
2025-09-11,12:00,Shirak II,Ararat-Armenia II,First League,Armenia,2.0,3.0,3.0,No,No,0,None
2025-09-11,12:00,Lernayin Artsakh,Ararat II,First League,Armenia,2.0,3.0,3.0,No,No,0,None
2025-09-11,12:00,BKMA II,Araks Ararat,First League,Armenia,2.0,3.0,3.0,No,No,0,None
2025-09-11,12:00,Pyunik II,Sardarapat,First League,Armenia,2.0,3.0,3.0,No,No,0,None
2025-09-11,12:15,Johor Darul Takzim FC,Penang,Super League,Malaysia,2.0,3.0,3.0,No,No,0,None
2025-09-11,12:30,Paysandu PA U20,Uniao Paraense U20,Paraense U20,Brazil,2.0,3.0,3.0,No,No,0,None
2025-09-11,12:30,MOIK,Şahdağ,Birinci Dasta,Azerbaijan,1.75,3.75,3.6,No,No,0,None
2025-09-11,12:30,Zaqatala,Cəbrayıl,Birinci Dasta,Azerbaijan,1.67,3.5,4.33,No,No,0,None
2025-09-11,13:00,Saburtalo II,Gonio,Erovnuli Liga 2,Georgia,2.0,3.0,3.0,No,No,0,None
2025-09-11,13:00,AKAS,Shakhter Karagandy,1. Division,Kazakhstan,2.0,3.0,3.0,No,No,0,None
2025-09-11,13:00,Yarud Mariupol',Livyi Bereh,Persha Liga,Ukraine,2.0,3.0,3.0,No,No,0,None
2025-09-11,13:00,Tuna Luso PA U20,Belenense U20,Paraense U20,Brazil,2.0,3.0,3.0,No,No,0,None
2025-09-11,13:30,CSKA Pomir,Istiqlol,Vysshaya Liga,Tajikistan,2.0,3.0,3.0,No,No,0,None
2025-09-11,13:30,Mash'al,Shortan,Super League,Uzbekistan,2.6,2.8,2.62,No,No,0,None
2025-09-11,13:30,Baladiyyat Al Mehalla,Abu Qair Semad,Second League,Egypt,4.5,2.75,1.9,No,No,0,None
2025-09-11,13:30,Asyut Petrol,El Seka El Hadid,Second League,Egypt,2.3,2.7,3.3,No,No,0,None
2025-09-11,13:30,Tanta SC,El Entag EL Harby,Second League,Egypt,2.35,2.75,3.1,No,No,0,None
2025-09-11,13:30,El Mansura,Masar,Second League,Egypt,2.0,3.0,3.0,No,No,0,None
2025-09-11,13:40,Al-Ittihad Kalba,Al Wahda FC,Pro League,United-Arab-Emirates,3.5,3.9,1.75,No,No,0,None
2025-09-11,14:00,Dinamo Minsk II,Minsk II,1. Division,Belarus,2.0,3.0,3.0,No,No,0,None
2025-09-11,14:00,Amkal,Salyut-Belgorod,Cup,Russia,2.0,3.0,3.0,No,No,0,None
2025-09-11,14:00,Banants II,Andranik,First League,Armenia,2.0,3.0,3.0,No,No,0,None
2025-09-11,14:00,Hapoel Azor,Hapoel Marmorek,Liga Alef,Israel,1.95,3.2,3.8,No,No,0,None
2025-09-11,14:30,Galanta,Rača,3. liga - West,Slovakia,2.0,3.0,3.0,No,No,0,None
2025-09-11,14:30,Častkovce,MŠK Senec,3. liga - West,Slovakia,2.0,3.0,3.0,No,No,0,None
2025-09-11,14:30,Mes Soongoun,Pars Jonoubi JAM,Azadegan League,Iran,2.0,3.0,3.0,No,No,0,None
2025-09-11,15:00,JS Kairouanaise,AS Marsa,Ligue 1,Tunisia,2.55,2.8,2.8,No,No,0,None
2025-09-11,15:00,ES Metlaoui,Jeunesse Sportive Omrane,Ligue 1,Tunisia,1.9,3.0,3.9,No,No,0,None
2025-09-11,15:00,AS Soliman,Olympique Béja,Ligue 1,Tunisia,1.85,3.0,4.2,No,No,0,None
2025-09-11,15:00,FC Voluntari,Concordia,Liga II,Romania,2.2,2.9,3.1,No,No,0,None
2025-09-11,15:15,Nässjö,BK Hacken,Svenska Cupen,Sweden,2.0,3.0,3.0,No,No,0,None
2025-09-11,15:15,Niroye Zamini,Naft Bandar Abbas,Azadegan League,Iran,2.0,3.0,3.0,No,No,0,None
2025-09-11,15:30,Raya Ghazl,Olympic El Qanah,Second League,Egypt,2.9,2.4,2.88,No,No,0,None
2025-09-11,15:30,Shenavarsazi Qeshm,Mes Kerman,Azadegan League,Iran,2.0,3.0,3.0,No,No,0,None
2025-09-11,15:30,Naft Gachsaran,Navad Urmia,Azadegan League,Iran,2.3,2.6,3.4,No,No,0,None
2025-09-11,15:40,Al Baten,Al Jabalain,Division 1,Saudi-Arabia,3.0,3.2,2.15,No,No,0,None
2025-09-11,15:50,Abha,Al-Faisaly FC,Division 1,Saudi-Arabia,2.1,3.2,3.0,No,No,0,None
2025-09-11,16:00,Vidar,Hinna,3. Division - Girone 5,Norway,1.17,7.0,10.0,No,No,0,None
2025-09-11,16:00,Spartak Myjava,Gabčíkovo,3. liga - West,Slovakia,2.0,3.0,3.0,No,No,0,None
2025-09-11,16:00,GKS Katowice W,Twente W,UEFA Champions League Women,World,7.0,4.75,1.33,No,No,0,None
2025-09-11,16:00,Sitra,Bahrain SC,Premier League,Bahrain,1.85,3.4,3.6,No,No,0,None
2025-09-11,16:00,Al-Hidd,Malkiya,Premier League,Bahrain,2.0,3.0,3.0,No,No,0,None
2025-09-11,16:15,Shabab Al Ahli Dubai,Baniyas SC,Pro League,United-Arab-Emirates,1.3,5.25,6.5,No,No,0,None
2025-09-11,16:15,Khorfakkan,Sharjah FC,Pro League,United-Arab-Emirates,3.2,3.75,1.85,No,No,0,None
2025-09-11,16:30,Saturn Ramenskoye,Broke Boys,Cup,Russia,2.0,3.0,3.0,No,No,0,None
2025-09-11,16:45,ES Setif,CS Constantine,Ligue 1,Algeria,1.75,3.0,5.0,No,No,0,None
2025-09-11,17:00,IA Akranes,Breidablik,Úrvalsdeild,Iceland,4.5,4.5,1.53,No,No,0,None
2025-09-11,17:00,Rustavi,Sioni,Erovnuli Liga 2,Georgia,2.0,3.0,3.0,No,No,0,None
2025-09-11,17:00,Varbergs GIF,Laholm,Division 2 - Västra Götaland,Sweden,4.75,4.2,1.5,No,No,0,None
2025-09-11,17:00,Hobro,Lyngby,1. Division,Denmark,4.0,3.8,1.8,No,No,0,None
2025-09-11,17:00,Angoulême,Avranches,National 2 - Group A,France,2.0,3.0,3.0,No,No,0,None
2025-09-11,17:00,Häcken,Atletico Madrid W,UEFA Champions League Women,World,3.0,3.75,1.95,No,No,0,None
