date,kick_off,home_team,away_team,league,country,market,bet_description,odds,recommended_stake_pct,edge_percent,confidence_percent,expected_value,quality_score,risk_level
2025-09-14,19:30,SC Braga,GIL Vicente,Primeira Liga,Portugal,Home -1,Home -1,3.595330760904049,8.0,185.3,79.4,1.853,0.973,High Risk
2025-09-14,12:00,Celta Vigo,Girona,La Liga,Spain,BTTS No,Both Teams to Score - No,2.65,8.0,130.7,87.1,1.307,0.84,Medium Risk
2025-09-14,16:30,Sporting Gijon,Burgos,Segunda División,Spain,Over 11.5 Corners,Over 11.5 Total Corners,4.03182933748884,8.0,153.9,63.0,1.539,0.814,High Risk
2025-09-14,13:00,Burnley,Liverpool,Premier League,England,Over 11.5 Corners,Over 11.5 Total Corners,3.605795840586805,8.0,145.3,68.0,1.453,0.808,High Risk
2025-09-14,10:15,Motor Lublin,Nieciecza,Ekstraklasa,Poland,BTTS No,Both Teams to Score - No,2.46,8.0,98.6,80.7,0.986,0.719,Medium Risk
2025-09-14,19:00,Barcelona,Valencia,La Liga,Spain,Home -1,Home -1,3.3093982640840256,8.0,115.5,65.1,1.155,0.707,High Risk
2025-09-14,15:00,KFUM Oslo,Viking,Eliteserien,Norway,Over 11.5 Corners,Over 11.5 Total Corners,2.6960054853755975,8.0,99.1,73.8,0.991,0.693,Medium Risk
2025-09-14,18:00,Leones Negros UDG,CA La Paz,Liga de Expansión MX,Mexico,BTTS No,Both Teams to Score - No,2.6,8.0,95.4,75.2,0.954,0.687,Medium Risk
2025-09-14,13:00,Burnley,Liverpool,Premier League,England,Away Over 1.5,Away Team Over 1.5 Goals,3.434929383418579,8.0,107.7,60.5,1.077,0.665,High Risk
2025-09-14,12:00,Djurgardens IF,Hammarby FF,Allsvenskan,Sweden,Over 9.5 Corners,Over 9.5 Total Corners,2.1458442822103834,8.0,75.9,81.9,0.759,0.655,Medium Risk
2025-09-14,14:00,Kayserispor,Goztepe,Süper Lig,Turkey,BTTS No,Both Teams to Score - No,2.13,8.0,71.1,80.3,0.711,0.635,Medium Risk
2025-09-14,12:45,Oţelul,FC Botosani,Liga I,Romania,Over 9.5 Corners,Over 9.5 Total Corners,1.988162368234956,8.0,62.9,81.9,0.629,0.617,Medium Risk
2025-09-14,18:00,York United,Atlético Ottawa,Canadian Premier League,Canada,Over 11.5 Corners,Over 11.5 Total Corners,2.3518795280351488,8.0,73.7,73.8,0.737,0.616,Medium Risk
2025-09-14,13:00,Virtus Entella,Mantova,Serie B,Italy,BTTS No,Both Teams to Score - No,2.27,8.0,70.6,75.2,0.706,0.612,Medium Risk
2025-09-14,12:00,Djurgardens IF,Hammarby FF,Allsvenskan,Sweden,Home Under 1.5,Home Team Under 1.5 Goals,1.7634009894095082,8.0,53.6,87.1,0.536,0.609,Low Risk
2025-09-14,17:00,Arouca,Casa Pia,Primeira Liga,Portugal,BTTS No,Both Teams to Score - No,2.47,8.0,74.7,70.7,0.747,0.607,Medium Risk
2025-09-14,18:00,Csikszereda,FCSB,Liga I,Romania,Home Under 1.5,Home Team Under 1.5 Goals,1.7480495327020662,8.0,50.2,85.9,0.502,0.594,Low Risk
2025-09-14,15:15,Stade Brestois 29,Paris FC,Ligue 1,France,BTTS No,Both Teams to Score - No,2.74,8.0,78.1,65.0,0.781,0.594,Medium Risk
2025-09-14,15:30,Manchester City,Manchester United,Premier League,England,BTTS No,Both Teams to Score - No,2.84,8.0,79.8,63.3,0.798,0.593,Medium Risk
2025-09-14,16:30,Osasuna,Rayo Vallecano,La Liga,Spain,Over 9.5 Corners,Over 9.5 Total Corners,2.0834938770467337,8.0,61.1,77.3,0.611,0.593,Medium Risk
2025-09-14,14:15,Racing Santander,Cultural Leonesa,Segunda División,Spain,BTTS No,Both Teams to Score - No,2.31,8.0,67.2,72.4,0.672,0.591,Medium Risk
2025-09-14,12:00,FC Winterthur,FC Sion,Super League,Switzerland,Home Under 1.5,Home Team Under 1.5 Goals,1.7442867698243494,8.0,49.3,85.6,0.493,0.59,Low Risk
2025-09-14,12:45,Legia Warszawa,Radomiak Radom,Ekstraklasa,Poland,BTTS No,Both Teams to Score - No,2.81,8.0,78.5,63.5,0.785,0.589,Medium Risk
