date,kick_off,home_team,away_team,league,country,home_odds,draw_odds,away_odds,followed_league,has_picks,pick_count,top_pick_markets
2025-09-13,00:00,Khimki II,Rotor-2,Second League - Group 3,Russia,2.0,3.0,3.0,No,No,0,None
2025-09-13,00:00,Rodina Moskva III,Salyut-Belgorod,Second League - Group 3,Russia,2.0,3.0,3.0,No,No,0,None
2025-09-13,00:00,FK Spartak Tambov,Znamya Truda,Second League - Group 3,Russia,2.0,3.0,3.0,No,No,0,None
2025-09-13,00:00,Kvant,Dinamo St. Petersburg,Second League - Group 3,Russia,2.0,3.0,3.0,No,No,0,None
2025-09-13,03:00,Wanaka,Nelson Suburbs,National League - Southern,New-Zealand,2.0,3.0,3.0,No,No,0,None
2025-09-13,08:00,Siwelele U23,Orlando Pirates U23,Diski Challenge,South-Africa,2.0,3.0,3.0,No,No,0,None
2025-09-13,08:00,Chippa United U23,Golden Arrows U23,Diski Challenge,South-Africa,2.0,3.0,3.0,No,No,0,None
2025-09-13,08:15,Sokol Lanžhot,Holešov,4. liga - Divizie E,Czech-Republic,2.0,3.0,3.0,No,No,0,None
2025-09-13,08:30,Trostianets,Dinaz Vyshhorod,Druha Liga,Ukraine,2.0,3.0,3.0,No,No,0,None
2025-09-13,09:00,Avispa Fukuoka,Cerezo Osaka,J1 League,Japan,3.3,3.3,2.15,Yes,Yes,3,"Over 1.5, Over 9.5 Corners, Home +1"
2025-09-13,09:00,Honda,Porvenir Asuka,Japan Football League,Japan,2.0,3.0,3.0,No,No,0,None
2025-09-13,09:00,Augsburg U19,Freiburg U19,U19 Bundesliga,Germany,2.0,3.0,3.0,No,No,0,None
2025-09-13,09:00,Wisła Kraków U19,Jagiellonia U19,Central Youth League,Poland,2.0,3.0,3.0,No,No,0,None
2025-09-13,09:00,Sampdoria U19,Venezia U19,Campionato Primavera - 2,Italy,2.0,3.0,3.0,No,No,0,None
2025-09-13,09:00,APR,Al Hilal Omdurman,CECAFA Club Cup,World,2.0,3.0,3.0,No,No,0,None
2025-09-13,09:30,Ventforet Kofu,Sagan Tosu,J2 League,Japan,3.1,3.1,2.3,No,No,0,None
2025-09-13,09:30,Tartu Kalev,Narva U21,Esiliiga B,Estonia,2.05,3.7,2.88,No,No,0,None
2025-09-13,09:30,Läänemaa Haapsalu,Johvi Phoenix,Esiliiga B,Estonia,2.0,3.0,3.0,No,No,0,None
2025-09-13,09:30,Elva,Nõmme United,Esiliiga A,Estonia,4.75,4.5,1.48,No,No,0,None
2025-09-13,09:30,Hirnyk-Sport,Kolos Kovalivka II,Druha Liga,Ukraine,3.5,3.5,1.83,No,No,0,None
2025-09-13,09:30,Thitsar Arman,Yadanarbon,National League,Myanmar,2.5,3.75,2.25,No,No,0,None
2025-09-13,09:30,Mohammedan,Railway,Calcutta Premier Division,India,2.0,3.0,3.0,No,No,0,None
2025-09-13,09:30,Kalighat,Southern Samity,Calcutta Premier Division,India,2.0,3.0,3.0,No,No,0,None
2025-09-13,09:45,Taguig,Dynamic Herb Cebu,PFL,Philippines,2.15,3.4,2.8,No,No,0,None
2025-09-13,09:55,Fagiano Okayama,Nagoya Grampus,J1 League,Japan,2.62,3.1,2.75,Yes,Yes,1,Home/Away
2025-09-13,10:00,Kashima,Shonan Bellmare,J1 League,Japan,1.55,4.33,5.25,Yes,Yes,1,Over 9.5 Corners
2025-09-13,10:00,Yokohama F. Marinos,Kawasaki Frontale,J1 League,Japan,3.0,3.75,2.15,Yes,Yes,1,Home/Away
2025-09-13,10:00,Albirex Niigata,Shimizu S-pulse,J1 League,Japan,2.25,3.3,3.1,Yes,No,0,None
2025-09-13,10:00,Gamba Osaka,Urawa,J1 League,Japan,2.05,3.5,3.4,Yes,Yes,4,"BTTS No, Over 1.5, Over 9.5 Corners"
2025-09-13,10:00,Omiya Ardija,V-varen Nagasaki,J2 League,Japan,2.9,3.3,2.3,No,No,0,None
2025-09-13,10:00,Jubilo Iwata,Imabari,J2 League,Japan,2.55,3.4,2.6,No,No,0,None
2025-09-13,10:00,Parceiro Nagano,Gainare Tottori,J3 League,Japan,1.8,3.25,4.0,No,No,0,None
2025-09-13,10:00,Gyeongnam FC,Gimpo Citizen,K League 2,South-Korea,3.1,3.1,2.2,No,No,0,None
2025-09-13,10:00,Seoul E-Land FC,Suwon Bluewings,K League 2,South-Korea,2.5,3.4,2.5,No,No,0,None
2025-09-13,10:00,Cheonan City,Incheon United,K League 2,South-Korea,4.5,3.6,1.67,No,No,0,None
2025-09-13,10:00,Gangwon FC,FC Seoul,K League 1,South-Korea,2.7,3.25,2.55,Yes,Yes,1,Over 9.5 Corners
2025-09-13,10:00,Pohang Steelers,Ulsan Hyundai FC,K League 1,South-Korea,2.45,3.3,2.88,Yes,No,0,None
2025-09-13,10:00,Jeonbuk Motors,Daejeon Citizen,K League 1,South-Korea,1.8,3.9,4.1,Yes,Yes,4,"Over 9.5 Corners, Over 1.5, Home/Away"
2025-09-13,10:00,Stocksund,Stockholm Internazionale,Ettan - Norra,Sweden,7.5,4.75,1.3,No,No,0,None
2025-09-13,10:00,Ruh Lviv,Epitsentr Dunayivtsi,Premier League,Ukraine,2.2,3.1,3.5,No,No,0,None
2025-09-13,10:00,Pardubice U19,Slovácko U19,1. Liga U19,Czech-Republic,2.0,3.0,3.0,No,No,0,None
2025-09-13,10:00,Real Sociedad W,Sevilla W,Primera División Femenina,Spain,1.5,4.33,5.0,No,No,0,None
2025-09-13,10:00,Pogon Szczecin W,UJ Krakow W,Ekstraliga Women,Poland,2.0,3.0,3.0,No,No,0,None
2025-09-13,10:00,Slask Wroclaw W,Rekord Bielsko-Biala W,Ekstraliga Women,Poland,2.0,3.0,3.0,No,No,0,None
2025-09-13,10:00,Felgueiras 1932,Benfica B,Segunda Liga,Portugal,2.15,3.3,3.1,No,No,0,None
2025-09-13,10:00,Nürnberg,Werder Bremen W,Frauen Bundesliga,Germany,2.0,3.0,3.0,No,No,0,None
2025-09-13,10:00,Magdeburg U19,Chemnitzer FC U19,U19 Bundesliga,Germany,2.0,3.0,3.0,No,No,0,None
2025-09-13,10:00,Erzgebirge Aue U19,Dynamo Dresden U19,U19 Bundesliga,Germany,2.0,3.0,3.0,No,No,0,None
2025-09-13,10:00,Ingolstadt U19,Nürnberg U19,U19 Bundesliga,Germany,2.0,3.0,3.0,No,No,0,None
2025-09-13,10:00,Elversberg U19,Fortuna Düsseldorf U19,U19 Bundesliga,Germany,2.0,3.0,3.0,No,No,0,None
2025-09-13,10:00,Schott Mainz U19,Bayer Leverkusen U19,U19 Bundesliga,Germany,2.0,3.0,3.0,No,No,0,None
2025-09-13,10:00,Jahn Regensburg II,Eintracht Bamberg,Oberliga - Bayern Nord,Germany,2.0,3.0,3.0,No,No,0,None
2025-09-13,10:00,Jagiellonia II,Wisła Płock II,III Liga - Group 1,Poland,2.0,3.0,3.0,No,No,0,None
2025-09-13,10:00,Wybrzeże Rewalskie Rewal,Luzino,III Liga - Group 2,Poland,4.2,3.9,1.62,No,No,0,None
2025-09-13,10:00,Penuel,Livyi Bereh,Druha Liga,Ukraine,2.0,3.0,3.0,No,No,0,None
2025-09-13,10:00,Karpaty Lviv U19,SK Poltava U19,U19 League,Ukraine,2.0,3.0,3.0,No,No,0,None
