date,kick_off,home_team,away_team,league,market,bet_description,odds,recommended_stake_pct,edge_percent,confidence_percent,expected_value,quality_score,risk_level,country,bet_amount,potential_win,simulated_outcome,actual_pnl,running_total,running_bankroll,cumulative_wins,cumulative_picks,win_rate,outcome_description
2025-09-07,21:00,Barcelona,Girona,La Liga,Under 1.5,Under 1.5 Goals,4.2237592949387075,8.0,286.8,91.6,2.868,2.132,High Risk,,25.0,80.59398237346768,True,80.59398237346768,80.59398237346768,1080.5939823734677,1,1,100.0,WIN
2025-09-07,15:00,Novorizontino,Atlético GO,Unknown,Over 1.5,Over 1.5 Goals,2.352950552048408,8.0,81.3,77.0,0.813,0.65,Medium Risk,,25.0,33.823763801210205,False,-25.0,55.59398237346768,1055.5939823734677,1,2,50.0,LOSS
2025-09-07,16:30,Liverpool,Nottingham Forest,Premier League,Over 1.5,Over 1.5 Goals,2.3064542628880607,8.0,60.7,69.7,0.607,0.484,Medium Risk,,25.0,32.66135657220152,False,-25.0,30.593982373467682,1030.5939823734677,1,3,33.3,LOSS
2025-09-07,15:30,Bayern Munich,Freiburg,Bundesliga,Over 9.5 Corners,Over 9.5 Total Corners,2.1722808240148797,8.0,48.5,68.3,0.485,0.394,Medium Risk,,25.0,29.30702060037199,True,29.30702060037199,59.901002973839674,1059.9010029738397,2,4,50.0,WIN
2025-09-07,15:00,Cuiabá,CRB,Unknown,Over 1.5,Over 1.5 Goals,1.843307988751456,8.0,42.0,77.0,0.42,0.375,Medium Risk,,25.0,21.0826997187864,True,21.0826997187864,80.98370269262608,1080.9837026926261,3,5,60.0,WIN
2025-09-07,14:00,Manchester City,Brighton,Premier League,Over 1.5,Over 1.5 Goals,2.0809070658801923,8.0,45.0,69.7,0.45,0.374,Medium Risk,,25.0,27.022676647004808,True,27.022676647004808,108.00637933963088,1108.006379339631,4,6,66.7,WIN
2025-09-07,15:00,Juventus,Roma,Serie A,Over 9.5 Corners,Over 9.5 Total Corners,1.985770993913854,8.0,43.3,72.2,0.433,0.37,Medium Risk,,25.0,24.644274847846347,True,24.644274847846347,132.65065418747724,1132.6506541874774,5,7,71.4,WIN
2025-09-07,21:00,Barcelona,Girona,La Liga,Over 9.5 Corners,Over 9.5 Total Corners,1.9805279798448925,8.0,42.9,72.2,0.429,0.367,Medium Risk,,25.0,24.51319949612231,False,-25.0,107.65065418747724,1107.6506541874774,5,8,62.5,LOSS
2025-09-08,16:00,Madagascar,Chad,World Cup - Qualification Africa,Over 1.5,Over 1.5 Goals,2.1185623937310374,8.0,59.3,75.2,0.593,0.491,Medium Risk,,25.0,27.964059843275933,True,27.964059843275933,135.6147140307532,1135.6147140307532,6,9,66.7,WIN
2025-09-08,19:00,Libya,Eswatini,World Cup - Qualification Africa,Over 1.5,Over 1.5 Goals,2.171396208559776,8.0,55.8,71.7,0.558,0.455,Medium Risk,,25.0,29.284905213994406,True,29.284905213994406,164.8996192447476,1164.8996192447476,7,10,70.0,WIN
